icao,type,description,frequency_mhz
AGGH,AFIS,INFO,118.1
AGGH,INFO,INFO,342.5
AGGM,AFIS,INFO,118.1
AGGM,RDO,RDO,118.1
ANYN,A/G,Nauru Radio,118.1
ANYN,INFO,Nauru Radio,126.5
AYBK,RDO,LAE RDO,127.1
AYDU,FSS,MORESBY CNTR,124.9
AYGA,TWR,TWR,118.7
AYGN,FSS,MORESBY CNTR,124.1
AYHK,FSS,NADZAB CNTR,127.1
AYKM,FSS,MORESBY,120.9
AYKV,FSS,LAE,127.1
AYMD,ATIS,ATIS,127.8
AYMD,FSS,MADANG CNTR,120.1
AYMD,TWR,TWR,118.1
AYMH,ATIS,ATIS,128.4
AYMH,TWR,HAGEN TWR,120.5
AYMO,AWOS,AWIS,129.35
AYMO,FSS,MADANG,120.1
AYNZ,APP,APP,118.6
AYNZ,ATIS,ATIS,128.6
AYNZ,RDO,LAE RDO,120.7
AYNZ,TWR,TWR,121.7
AYPY,APP,JACKSONS APP,125.8
AYPY,ATIS,ATIS,117
AYPY,GND,JACKSONS GND,121.7
AYPY,TWR,JACKSONS TWR,118.1
AYTK,FSS,LAE RDO,127.1
AYTK,MISC,MTAF,120.9
AYTK,TWR,TWR,118.2
AYVN,FSS,MADANG FIS,126.7
AYWK,ATIS,ATIS,128.2
AYWK,CTAF,WEWAK TRAFFIC,121.7
AYWK,FSS,MADANG CNTR,126.7
BGBW,AFIS,AFIS,119.1
BGCO,AFIS,AFIS,118.1
BGGH,AFIS,AFIS,119.1
BGNN,HIS,NANORTALIK HIS,118.1
BGNO,ATS,Station Nord,118.1
BGNO,ATS,Station Nord,267.3
BGNS,HIS,NARSAQ HIS,118.1
BGQQ,AFIS,Aerodrome Flight Information Service,118.1
BGSF,A/D,APP/DEP,126.2
BGSF,RDO,RDO,121.3
BGSF,TWR,TWR,118.3
BGSS,AFIS,SISIMIUT AFIS,118.1
BGTL,A/G,EMERG CW FREQUENCY,836.4
BGTL,APP,APP,134.1
BGTL,CLD,CLNC DEL,119.9
BGTL,GND,GND,119.9
BGTL,OPS,BASE OPS,131.1
BGTL,TWR,TWR,126.2
BGUK,AFIS,Upernavik AFIS,118.1
BIAR,ACC,REYKJAVIK ACC,119.7
BIAR,RDR,RADAR,118.7
BIAR,TWR,TWR,118.2
BIBD,ACC,REYKJAVIK ACC,119.7
BIBD,AFIS,INFO,119.1
BIEG,ACC,REYKJAVIK ACC,119.7
BIEG,AFIS,RDO,119.4
BIHN,ACC,REYKJAVIK CON,119.7
BIHN,AFIS,INFO,118.1
BIHU,ACC,REYKJAVIK ACC,119.7
BIHU,AFIS,INFO,118.1
BIIS,ACC,REYKJAVIK ACC,119.7
BIIS,AFIS,INFO,118.8
BIKF,A/G,AIR GND,131.9
BIKF,APP,APP,119.3
BIKF,ATIS,ATIS,128.3
BIKF,DEP,DEP,119.3
BIKF,GND,GND,121.9
BIKF,OPS,BASE OPS,129
BIKF,PMSV,PMSV  METRO,125
BIKF,TWR,TWR,118.3
BIMS,afis,Tungubakki,118.2
BIMS,TWR: BIRK,Reykjavik Tower,118
BIPA,ACC,REYKJAVIK ACC,119.7
BIPA,AFIS,RDO,119.1
BIRK,A/D,APP/DEP,119
BIRK,ATIS,ATIS,128.1
BIRK,GND,GND,121.7
BIRK,RDO,RDO,126.55
BIRK,TWR,TWR,118
BISA,TRFC,Trafic,118.1
BISI,ACC,REYKJAVIK ACC,119.7
BISI,RDO,RDO,118.1
BISS,TRFC,Traffic,119.9
BITN,ACC,REYKJAVIK ACC,119.7
BITN,AFIS,INFO,118.1
BIVM,ACC,REYKJAVIK ACC,119.7
BIVM,DEP,REYKJAVIK DEP,119
BIVM,TWR,TWR,118.5
BKPR,APP,APP,118.775
BKPR,GND,GND,118
BKPR,RMP,RAMP OPR,136.8
BKPR,TWR,TWR,120.125
CBBC,ATF,"Bella BellaTraffic,  5nm below 3200 ASL",122.8
CBBC,FSS,Wag Fuel,131.05
CBBC,RCO,"Pacific Radio, (FISE)",123.475
CBBC,RCO,"Pacific Radio, bcst",126.7
CRML,CTAF,,122.9
CYAB,MF,,122.1
CYAG,AWOS,AWOS,120
CYAG,CNTR,MINNEAPOLIS CNTR,120.9
CYAG,UNIC,ATF/UNICOM,122.8
CYAM,A/G,MF,118.8
CYAM,ATIS,ATIS,133.05
CYAM,CNTR,TORONTO CNTR,132.65
CYAM,GND,GND,121.7
CYAM,RCO,LONDON RDO,122.5
CYAM,TWR,TWR,118.8
CYAU,CNTR,MONCTON CNTR,123.9
CYAU,UNIC,ATF/UNICOM,122.8
CYAV,ATF,ATF,118.5
CYAV,ATIS,ATIS,125.8
CYAV,GND,GND,121.8
CYAV,TWR,TWR,118.5
CYAW,A/D,HALIFAX APP/DEP,119.2
CYAW,ATF,ATF,126.2
CYAW,ATIS,ATIS,129.175
CYAW,GND,GND,121.7
CYAW,OPS,OPS,30.88
CYAW,PMSV,PMSV METRO,34.46
CYAW,TWR,TWR,119
CYAX,UNIC,ATF/UNICOM,122.8
CYAY,ATF,ATF,122.3
CYAY,AWOS,AWOS1,118.65
CYAY,CNTR,GANDER CNTR,133
CYAY,FSS,RDO,122.3
CYAY,RCO,HALIFAX RDO,123.275
CYAY,RDO,MF,122.3
CYAZ,CNTR,VANCOUVER CNTR,132.9
CYAZ,RCO,PACIFIC RDO,123.25
CYBA,ATF,Banff Traffic,123.3
CYBA,PAL,Edmonton Centre,133.75
CYBA,RDO,Edmonton Radio,123.55
CYBB,ATF,MANDATORY FREQ,122.1
CYBB,RDO,ARPT RDO,122.1
CYBC,A/D,MONTREAL CNTR,134.65
CYBC,RCO,MONT JOLI RDO,118.3
CYBC,RDO,MF MONT JOLI RDO,118.3
CYBD,ATF,ATF,122.8
CYBD,RCO,PACIFIC RDO,126.7
CYBE,ATF,ATF,123.2
CYBF,ATF,ATF,123.2
CYBG,A/D,TRML,127.2
CYBG,AAS,VFR ADVSY,121.2
CYBG,ATIS,ATIS,124.2
CYBG,CLD,CLNC DEL,119
CYBG,GND,GND,121.7
CYBG,OPS,WING OPS,26.46
CYBG,PMSV,PMSV,34.46
CYBG,TWR,TWR,126.2
CYBK,FSS,ARCTIC RDO,568
CYBK,UNIC,ARPT RDO,122.1
CYBL,A/D,COMOX TRML ARR/DEP,123.7
CYBL,A/G,MF CAMPBELL RDO,122
CYBL,ATF,ATF,122
CYBL,ATIS,ATIS,128.55
CYBL,FSS,RDO,122
CYBL,RCO,PACIFIC RDO,126.7
CYBR,A/G,MF,122.1
CYBR,CNTR,WINNIPEG CNTR,132.25
CYBR,RCO,WINNIPEG RDO,126.7
CYBR,RDO,RDO,122.1
CYBW,A/G,MF CALGARY  RDO,118.2
CYBW,ATIS,ATIS,127.9
CYBW,GND,GND,121.8
CYBW,RCO,EDMONTON RDO,123.375
CYBW,TWR,TWR,118.2
CYBW,TWR,Tower Inner,120.7
CYBX,RCO,QUEBEC RDO,122
CYBX,RDO,MF,122
CYCB,ACC,ARTIC RDO,126.7
CYCB,ARTC,ARTIC RDO,126.7
CYCB,ATF,MANDATORY FREQ,122.1
CYCB,OPS,OPS,22.89
CYCB,RDO,ARPT RDO,122.1
CYCC,A/D,BOSTON CNTR,135.25
CYCC,UNIC,ATF/UNICOM,122.775
CYCD,APP,VICTORIA TRML,133.95
CYCD,ATF,ATF,122.1
CYCD,ATIS,Nanaimo ATIS,128.425
CYCD,FSS,RDO,122.1
CYCD,RCO,PACIFIC RDO,126.7
CYCE,UNIC,ATF/UNICOM,122.8
CYCG,ATF,ATF,122.1
CYCG,CNTR,VANCOUVER CNTR,134.2
CYCG,RCO,KAMLOOPS RDO,126.7
CYCG,RDO,RDO,122.1
CYCH,CNTR,MONCTON CNTR,123.7
CYCH,UNIC,ATF/UNICOM,122.7
CYCK,CNTR,CLEVELAND CNTR,132.25
CYCK,UNIC,ATF/UNICOM,123.2
CYCL,A/G,MF,122.2
CYCL,ATF,ATF,122.2
CYCL,CNTR,MONCTON CNTR,134.25
CYCL,RCO,QUEBEC RDO,126.7
CYCN,ATF,ATF,122.8
CYCO,ATF,MANDATORY FREQ,122.1
CYCO,RDO,ARPT RDO,122.1
CYCP,ATF,ATF,123.2
CYCQ,ATF,ATF,123.2
CYCQ,RCO,EDMONTON RDO,126.7
CYCT,ATF,ATF,122.8
CYCW,UNIC,ATF/UNICOM,122.7
CYCY,ATF,MANDATORY FREQ,122.1
CYCY,AWOS,AWOS,124.6
CYCY,RDO,ARPT RDO,122.1
CYCZ,ATF,ATF,123.2
CYCZ,RCO,PACIFIC RDO,126.7
CYDA,ATF,MANDATORY FREQ,122.1
CYDA,RCO,WHITEHORSE RDO,126.7
CYDA,RDO,ARPT RDO,122.1
CYDB,ATF,MANDTORY FREQUENCY,122.1
CYDB,AWOS,AWOS,128.7
CYDB,RCO,WHITEHORSE RDO,126.7
CYDB,RDO,ARPT RDO,122.1
CYDC,ATF,ATF,123.2
CYDC,CNTR,VANCOUVER,135
CYDC,RCO,PACIFIC RDO,125.85
CYDF,CNTR,GANDER CNTR,134.6
CYDF,FSS,RDO,122.2
CYDF,RCO,HALIFAX RDO,126.7
CYDF,RDO,MF,122.2
CYDL,ATF,ATF,123.2
CYDL,CNTR,EDMONTON CNTR,134.05
CYDL,RCO,WHITEHORSE RDO,126.7
CYDN,A/G,MF WINNIPEG RDO,122.3
CYDN,AWOS,AWOS,128.6
CYDN,RCO,WINNIPEG RDO,122.3
CYDO,A/D,ROBERVAL RDO,126.7
CYDO,UNIC,ATF/UNICOM,122.7
CYDQ,A/G,MF PEACE RIVER RDO,122.2
CYDQ,RDO,RCO,122.2
CYEE,CNTR,TORONTO CNTR,124.025
CYEE,UNIC,ATF/UNICOM,122.85
CYEG,AAS,TWR VFR ADVSY SVC,118.3
CYEG,APP,APP,118.3
CYEG,ARR,ARR,120.5
CYEG,ATIS,ATIS,128
CYEG,CLD,CLNC DEL,124.1
CYEG,DEP,DEP,133.65
CYEG,FSS,RDO,122.5
CYEG,GND,GND,121.7
CYEG,INFO,EXEC FLT CTR,122.95
CYEG,INFO,FLT TECH AVN INC,123
CYEG,TWR,TWR,118.3
CYEK,AWOS,AWOS,128.7
CYEK,RDO,ARPT RDO,122.1
CYEL,CNTR,TORONTO CNTR,135.4
CYEL,UNIC,ATF/UNICOM,123
CYEM,CNTR,TORONTO CNTR,135.4
CYEM,UNIC,ATF/UNICOM,122.8
CYEN,ATF,ATF,123
CYES,UNIC,ATF/UNICOM,122.8
CYET,ATF,ATF,123.2
CYET,AWOS,,128.75
CYEU,UNIC,ATF/UNICOM,122.8
CYEV,ATIS,Lighted hrs,128.5
CYEV,MF,"Inuvik Radio, 5nm below 3200",122.3
CYEV,PAL,Edmonton Control,132.4
CYEV,RADIO,,122.3
CYEV,RCO,Artic Radio (FISE),123.375
CYEV,VDF,,122.3
CYEY,CNTR,MONTREAL CNTR,125.9
CYEY,RDO,QUEBEC RDO,126.7
CYEY,UNIC,ATF/UNICOM,122.8
CYFB,APRON ADV,,122.925
CYFB,FSS,RDO,122.2
CYFB,INTL AIR,Gander Radio,126.9
CYFB,MF,"Iqalluit Radio, 5nm below 3100ASL",122.2
CYFB,PAL,Montreal Control,134.55
CYFB,RCO,"Artic Radio, (FISW)",123.275
CYFB,VDF,,122.2
CYFC,A/G,MF,119
CYFC,CNTR,MONCTON CNTR,124.3
CYFC,RDO,RDO,119
CYFD,A/D,TORONTO TRML,128.27
CYFD,UNIC,ATF/UNICOM,122.825
CYFE,ATF,ATF,123.2
CYFJ,ATF,ATF/UNICOM,122.7
CYFJ,PAL,Montreal Center,133.9
CYFO,A/G,WINNIPEG RDO MF,122
CYFO,RCO,WINNIPEG RDO,122
CYFR,ATF,MANDATORY FREQ,122.1
CYFR,RDO,ARPT RDO,122.1
CYFS,CNTR,EDMONTON CNTR,135.4
CYFS,MF,FT SIMPSON RDO,122.2
CYFS,RCO,YELLOWKNIFE RDO,126.7
CYGB,ATF,ATF,122.7
CYGD,CNTR,TORONTO CNTR,135.3
CYGD,UNIC,ATF/UNICOM,122.7
CYGE,RCO,PACIFIC RDO,126.7
CYGE,UNIC,ATF/UNICOM,122.8
CYGH,ATF,MANDATORY FREQ,122.1
CYGH,FSS,NORMAN WELLS RDO,126.7
CYGH,RDO,AIRPORT RDO,122.1
CYGK,ATF,Kingston Traffic,122.5
CYGK,MF,"Kingston Radio, 0615-2300 local",122.5
CYGK,RADIO,Kingston Radio,122.5
CYGK,RCO,London Radio,123.55
CYGK,VDF,Kingston Radio,122.5
CYGL,A/G,MF,122.3
CYGL,CNTR,MONTREAL CNTR,132.1
CYGL,RCO,QUEBEC RDO,126.7
CYGL,RDO,RDO,122.3
CYGM,A/G,MF,122.15
CYGM,UNIC,UNICOM,122.15
CYGP,RCO,QUEBEC RDO,122.3
CYGP,RDO,MF QUEBEC RDO,122.3
CYGQ,RCO,LONDON RADIO,123.475
CYGQ,UNIC,ATF/UNICOM,122.8
CYGR,CNTR,MONCTON CNTR,134.35
CYGR,FSS,MADELEINE RDO,123.15
CYGR,RCO,QUEBEC RDO,126.7
CYGR,RDO,MF,123.15
CYGV,AWOS,AWOS,125.95
CYGV,RCO,QUEBEC RDO,122
CYGV,RDO,MF,122
CYHB,ATF,ATF,122.8
CYHD,A/G,MIN NATL RESOURCES,122.9
CYHD,CNTR,WINNIPEG CNTR,132.2
CYHD,RCO,WINNIPEG RDO,122.1
CYHD,RDO,MF,122.1
CYHE,MF,,123.3
CYHF,UNIC,ATF/UNICOM,122.8
CYHI,ATF,MANDATORY FREQ,122.1
CYHI,RDO,ARPT RDO,122.1
CYHK,ATF,MANDATORY FREQ,122.1
CYHK,RDO,ARPT RDO,122.1
CYHM,A/D,TORONTO TRML,119.7
CYHM,ATIS,ATIS,128.1
CYHM,GND,GND,121.6
CYHM,TWR,TWR,125
CYHN,UNIC,ATF/UNICOM,122.8
CYHR,ATF,ATF,123.5
CYHR,AWOS,AWOS,122.55
CYHS,UNIC,ATF/UNICOM,122.8
CYHU,A/G,MF,118.4
CYHU,ATIS,ATIS,124.9
CYHU,CNTR,MONTREAL CNTR,125.15
CYHU,GND,GND,126.4
CYHU,INFO,VFR ADVSY,134.15
CYHU,RDO,QUEBEC RDO,118.4
CYHU,TWR,TWR,118.4
CYHY,A/D,YELLOWKNIFE RDO,126.7
CYHY,CNTR,EDMONTON CNTR,133.85
CYHY,UNIC,MANDATORY FREQ,122.3
CYHZ,A/D,TRML,118.7
CYHZ,ATIS,ATIS,121
CYHZ,CLD,CLNC DEL,123.95
CYHZ,CNTR,MONCTON CNTR,118.7
CYHZ,GND,GND,121.9
CYHZ,RDO,RDO,123.275
CYHZ,RMP,APN ADVSY,122.125
CYHZ,TWR,TWR,118.4
CYIB,A/G,MF,122.3
CYIB,ATF,ATF,122.3
CYIB,RCO,WINNIPEG RDO,123.275
CYID,UNIC,ATF/UNICOM,122.8
CYIF,RCO,QUEBEC RDO,126.7
CYIF,UNIC,ATF/UNICOM,123.5
CYIK,A/G,ARPT RDO,122.1
CYIK,ATF,MF/CTAF,122.1
CYIO,AWOS,AWOS,128.3
CYIO,RDO,RDO,122.1
CYJM,ATF,ATF,123.2
CYJN,A/D,MONTREAL APP DEP,125.15
