icao,municipality,country,name,lat,lon
GMMW,Al Aaroui,MA,Nador Al Aaroui International Airport,34.98880,-3.02821
GMMX,Marrakesh,MA,Marrakesh Menara Airport,31.60481,-8.03579
GMMZ,Ouarzazate,MA,Ouarzazate International Airport,30.93910,-6.90943
GMSL,Sidi Slimane,MA,Sidi Slimane Airport,34.23060,-6.05014
GMTA,Al Hoceima,MA,Cherif Al Idrissi Airport,35.17710,-3.83952
GMTN,Tétouan,MA,Sania Ramel Airport,35.59430,-5.32002
GMTT,Tangier,MA,Tangier Ibn Battuta Airport,35.73174,-5.92146
GOBD,Dakar,SN,Blaise Diagne International Airport,14.67088,-17.07283
GODK,Kolda,SN,Kolda Airport,12.89860,-14.96832
GOGG,Ziguinchor,SN,Ziguinchor Airport,12.55559,-16.28330
GOGS,Cap Skirring,SN,Cap Skirring Airport,12.39533,-16.74800
GOOG,Linguère,SN,Linguère Airport,15.40213,-15.08063
GOOK,Kaolack,SN,Kaolack Airport,14.14690,-16.05130
GOOY,Dakar,SN,Léopold Sédar Senghor International Airport,14.74234,-17.47922
GOSM,Ouro Sogui,SN,Ouro Sogui Airport,15.59360,-13.32280
GOSP,Podor,SN,Podor Airport,16.67816,-14.96496
GOSR,Richard Toll,SN,Richard Toll Airport,16.43782,-15.65638
GOSS,Saint Louis,SN,Saint Louis Airport,16.04981,-16.46104
GOTB,Bakel,SN,Bakel Airport,14.84730,-12.46830
GOTK,Kédougou,SN,Kédougou Airport,12.57230,-12.22030
GOTS,Simenti,SN,Simenti Airport,13.04680,-13.29540
GOTT,Tambacounda,SN,Tambacounda Airport,13.73680,-13.65310
GQNA,Aioun El Atrouss,MR,Aioun el Atrouss Airport,16.71130,-9.63788
GQNB,Boutilimit,MR,Boutilimit Airport,17.52832,-14.71412
GQNC,Tichitt,MR,Tichitt Airport,18.43394,-9.48641
GQND,Tidjikja,MR,Tidjikja Airport,18.57010,-11.42350
GQNE,Boghe,MR,Abbaye Airport,16.63331,-14.20000
GQNF,Kiffa,MR,Kiffa Airport,16.59000,-11.40620
GQNH,Timbedra,MR,Timbedra Airport,16.23367,-8.16346
GQNI,Néma,MR,Néma Airport,16.62200,-7.31660
GQNJ,Akjoujt,MR,Akjoujt Airport,19.72800,-14.37721
GQNK,Kaédi,MR,Kaédi Airport,16.15950,-13.50760
GQNL,Moudjeria,MR,Letfotar Airport,17.75000,-12.50000
GQNM,Timbreda,MR,Dahara Airport,16.30000,-8.05000
GQNO,Nouakchott,MR,Nouakchott–Oumtounsy International Airport,18.31000,-15.96972
GQNS,Sélibaby,MR,Sélibaby Airport,15.17970,-12.20730
GQNT,Tamchakett,MR,Tamchakett Airport,17.23157,-10.77923
GQPA,Atar,MR,Atar International Airport,20.50582,-13.04374
GQPF,Fderik,MR,Fderik Airport,22.67355,-12.72926
GQPP,Nouadhibou,MR,Nouadhibou International Airport,20.93240,-17.03020
GQPT,Bir Moghrein,MR,Bir Moghrein Airport,25.18353,-11.60900
GQPZ,Zouérate,MR,Tazadit Airport,22.75735,-12.48223
GUBE,Beyla,GN,Beyla Airport,8.69722,-8.71389
GUCY,Conakry,GN,Ahmed Sékou Touré International Airport,9.57689,-13.61200
GUFA,Fria,GN,Fria Airport,10.35060,-13.56920
GUFH,Faranah,GN,Faranah Airport,10.03550,-10.76980
GUGO,Banankoro,GN,Gbenko Airport,9.24284,-9.29997
GUKR,Port Kamsar,GN,Kawass Airport,10.65748,-14.53234
GUKU,Kissidougou,GN,Kissidougou Airport,9.16056,-10.12440
GULB,Labé,GN,Tata Airport,11.33751,-12.29087
GUMA,Macenta,GN,Macenta Airport,8.48146,-9.52605
GUNZ,Nzérékoré,GN,Nzérékoré Airport,7.81041,-8.70207
GUOK,Boké,GN,Boké Baralande Airport,10.96580,-14.28110
GUSA,Sangarédi,GN,Sangarédi Airport,11.11456,-13.81583
GUSB,Koundara,GN,Sambailo Airport,12.57531,-13.36335
GUSI,Siguiri,GN,Siguiri Airport,11.39983,-9.18841
GUXN,Kankan,GN,Kankan Airport,10.39400,-9.30380
GVAC,Espargos,CV,Amílcar Cabral International Airport,16.74140,-22.94940
GVAN,Ponta do Sol,CV,Agostinho Neto Airport,17.20280,-25.09060
GVBA,Rabil,CV,Aristides Pereira International Airport,16.13650,-22.88890
GVBR,Brava Island,CV,Esperadinha Airport,14.86431,-24.74600
GVMA,Vila do Maio,CV,Maio Airport,15.15590,-23.21370
GVMT,Vila do Mosteiros,CV,Mosteiros Airport,15.04500,-24.33920
GVNP,Praia,CV,Nelson Mandela International Airport,14.94113,-23.48473
GVSF,São Filipe,CV,São Filipe Airport,14.88500,-24.48000
GVSN,Preguiça,CV,Preguiça Airport,16.58885,-24.28413
GVSV,São Pedro,CV,Cesaria Evora International Airport,16.83336,-25.05531
GXUD,Kankan,GN,Kankan Airport,10.44844,-9.22876
HAAB,Addis Ababa,ET,Addis Ababa Bole International Airport,8.97789,38.79930
HAAD,Adaba,ET,Adaba Airport,7.02295,39.27316
HAAL,Addis Ababa,ET,Lideta Army Airport,9.00369,38.72550
HAAM,Arba Minch,ET,Arba Minch Airport,6.03939,37.59050
HAAX,Axum,ET,Axum Airport,14.14680,38.77280
HABC,Jinka,ET,Jinka Airport,5.78333,36.55000
HABD,Bahir Dar,ET,Bahir Dar Airport,11.60810,37.32160
HABE,Beica,ET,Beica Airport,9.38639,34.52190
HADC,Dessie,ET,Kombolcha Airport,11.10975,39.72591
HADD,Dembidollo,ET,Dembidollo Airport,8.55400,34.85800
HADM,Debre Markos,ET,Debre Markos Airport,10.32150,37.74189
HADO,Dodola,ET,Dodola Airport,7.02056,39.05110
HADR,Dire Dawa,ET,Aba Tenna Dejazmach Yilma International Airport,9.62355,41.85503
HADT,Debre Tabor,ET,Debre Tabor Airport,11.88481,38.00924
HAFN,Fincha,ET,Fincha Airport,9.58439,37.37785
HAGB,Goba,ET,Robe Airport,7.11903,40.04517
HAGH,Ghinnir,ET,Ghinnir Airport,7.15000,40.71700
HAGM,Gambela,ET,Gambela Airport,8.12876,34.56310
HAGN,Azezo,ET,Gondar Airport,12.51990,37.43400
HAGO,Gode,ET,Gode Airport,5.93513,43.57860
HAGR,Gore,ET,Gore Airport,8.16140,35.55290
HAHM,Debre Zeyit,ET,Harar Meda Airport,8.71630,39.00590
HAHU,Akwi,ET,Humera Airport,13.83012,36.88237
HAJJ,Jijiga,ET,Gerad Wilwal International Airport,9.33191,42.91181
HAJM,Jimma,ET,Jimma Airport,7.66609,36.81660
HAKD,Kebri Dahar,ET,Kebri Dahar Airport,6.73258,44.24134
HAKL,Kelafo,ET,Kelafo East Airport,5.65700,44.35000
HALA,Hawassa,ET,Hawassa International Airport,7.10061,38.39646
HALL,Girany Amba,ET,Lalibela Airport,11.97523,38.98020
HAMA,Mekane Selam,ET,Mekane Selam Airport,10.72540,38.74150
HAMJ,Maji,ET,Tume Airport,5.83300,35.53300
HAMK,Mekele,ET,Mekele Alula Aba Nega Airport,13.46740,39.53350
HAMM,Metema,ET,Metema Airport,12.93300,36.16700
HAMN,Mendi,ET,Mendi Airport,9.76700,35.10000
HAMR,Omo National Park,ET,Mui River Airport,5.86460,35.74850
HAMT,Mizan Teferi,ET,Mizan Teferi Airport,6.95710,35.55470
HANG,Negele Borana,ET,Negele Airport,5.28970,39.70230
HANJ,Nejo,ET,Nejjo Airport,9.55000,35.46699
HANK,Nekemte,ET,Nekemte Airport,9.03433,36.61315
HAPW,Pawe,ET,Beles Airport,11.31260,36.41640
HASD,Soddu,ET,Soddu Airport,6.80281,37.68622
HASH,Sheikh Hussein,ET,Sheikh Hussein Airport,7.74175,40.69557
HASK,Shakiso,ET,Shakiso Airport,5.69230,38.97640
HASL,Shilavo,ET,Shilavo Airport,6.07754,44.76374
HASM,Semera,ET,Semera Airport,11.78750,40.99150
HASO,Asosa,ET,Asosa Airport,10.01850,34.58630
HASR,Shire Inda Selassie,ET,Shire Inda Selassie Airport,14.07570,38.27359
HATP,Tippi,ET,Tippi Airport,7.20240,35.41500
HAWR,Warder,ET,Warder Airport,6.97240,45.33340
HBBA,Bujumbura,BI,Bujumbura Melchior Ndadaye International Airport,-3.32402,29.31850
HBBE,Gitega,BI,Gitega Airport,-3.41721,29.91131
HBBK,Gihohi,BI,Gihohi Airport,-4.03420,30.13180
HBBO,Kirundo,BI,Kirundo Airport,-2.54477,30.09457
HCAD,Adado,SO,Adado Airport,6.09580,46.63750
HCBA,Hafun,SO,Hafun Airstrip,10.44500,51.24660
HCBG,Hafun,SO,Hafun Old Base Airstrip,10.41540,51.32560
HCDM,,SO,Dusomareb Airport,5.47200,46.35983
HCGR,Garowe,SO,Garowe Airport,8.45847,48.56814
HCMA,Alula,SO,Alula Airport,11.95820,50.74800
HCMB,Baidoa,SO,Baidoa Airport,3.10192,43.62714
HCMC,Candala,SO,Candala Airport,11.49563,49.90982
HCMD,Baardheere,SO,Baardheere Airport,2.33019,42.31180
HCME,Eyl,SO,Eil Airport,8.10400,49.82000
HCMF,Bosaso,SO,Bender Qassim International Airport,11.27524,49.13923
HCMG,Gardo,SO,Gardo Airport,9.54598,49.11915
HCMH,Hargeisa,SO,Egal International Airport,9.51408,44.08347
HCMI,Berbera,SO,Berbera Airport,10.38504,44.93672
HCMJ,Luuq,SO,Lugh Ganane Airport,3.81240,42.54590
HCMK,Kismayo,SO,Kismayo Airport,-0.37735,42.45920
HCMM,Mogadishu,SO,Aden Adde International Airport,2.01444,45.30470
HCMN,Beledweyne,SO,Beledweyne Airport,4.76698,45.23880
HCMO,Hobyo,SO,Hobyo Airport,5.35800,48.51528
HCMR,Galcaio,SO,Galcaio Airport,6.78083,47.45470
HCMS,Iskushuban,SO,Iskushuban Airport,10.31389,50.20556
HCMU,Erigavo,SO,Erigavo Airport,10.64205,47.38798
HCMV,Burao,SO,Burao Airport,9.52750,45.55490
HDAG,Assa-Gueyla,DJ,Assa-Gueyla Airport,12.18888,42.63749
HDAM,Djibouti City,DJ,Djibouti-Ambouli Airport,11.54730,43.15950
HDAS,Ali-Sabieh,DJ,Ali-Sabieh Airport,11.14689,42.72000
HDCH,Chabelley,DJ,Chabelley Airport,11.51680,43.06140
HDDK,Dikhil,DJ,Dikhil Airport,11.09796,42.35056
HDHE,Herkale,DJ,Herkale Airport,12.44490,43.29257
HDMO,Moucha Island,DJ,Moucha Airport,11.72975,43.20956
HDOB,Obock,DJ,Obock Airport,11.96700,43.26700
HDTJ,Tadjoura,DJ,Tadjoura Airport,11.78704,42.91738
HEAL,El Alamein,EG,El Alamein International Airport,30.92432,28.46161
HEAR,El Arish,EG,El Arish International Airport,31.05532,33.82796
HEAT,Asyut,EG,Asyut International Airport,27.04596,31.01276
HEAX,Alexandria,EG,Alexandria International Airport,30.93249,29.69644
HEAZ,El Nozha,EG,Almaza Air Force Base,30.09170,31.35974
HEBL,Abu Simbel,EG,Abu Simbel Airport,22.37592,31.61173
HEBR,Berenice Troglodytica,EG,Berenice International Airport / Banas Cape Air Base,23.98044,35.46028
HEBS,Bani Sweif,EG,Bani Sweif Air Base,29.20224,31.01347
HECA,Cairo,EG,Cairo International Airport,30.11153,31.39669
HECP,New Cairo,EG,Capital International Airport,30.06465,31.83997
HECW,Cairo,EG,Cairo West Air Base,30.11643,30.91553
HEDK,Dakhla Oases,EG,Dakhla Oasis Airport,25.41116,29.00327
HEGN,Hurghada,EG,Hurghada International Airport,27.17678,33.79669
HEGO,El Gouna,EG,El Gouna Private Airport,27.36559,33.66846
HEGR,El Jora,EG,El Jora Airport,31.07814,34.15313
HEGS,Abu El Matamir,EG,Jiyanklis Air Base,30.81980,30.19120
HEIS,Al Ismailiyya,EG,Al Ismailiyya Air Base,30.59795,32.23569
HEKG,Kharja Oases,EG,El Kharja Airport,25.47148,30.58849
HELX,Luxor,EG,Luxor International Airport,25.67102,32.70645
HEMA,Marsa Alam,EG,Marsa Alam International Airport,25.55555,34.59245
HEMM,Marsa Matruh,EG,Mersa Matruh International Airport,31.32431,27.22227
HEOC,6th of October,EG,October Airport,29.81271,30.82346
HEOW,Sharq El Owainat,EG,El Owainat East International Airport,22.58426,28.72161
HEPS,Port Said,EG,Port Said International Airport,31.27929,32.24058
HESC,Saint Catherine,EG,Saint Catherine International Airport,28.68429,34.06441
HESG,Suhaj,EG,Suhaj International Airport,26.34251,31.74302
HESH,Sharm El Sheikh,EG,Sharm El Sheikh International Airport,27.97727,34.39472
HESN,Aswan,EG,Aswan International Airport,23.96108,32.82038
HESW,Siwa Oasis,EG,Siwa Oasis North Airport,29.34623,25.50562
HESX,Al Jiza,EG,Sphinx International Airport,30.10818,30.89573
HETB,Taba,EG,Taba International Airport,29.59450,34.77575
HETR,At Tur,EG,At Tur Airport,28.20896,33.64548
HHAG,Agordat,ER,Agordat Airport,15.53631,37.86555
HHAK,Adi Keyh,ER,Adi Keyh Airfield,14.82713,39.36524
HHAL,Alghena,ER,Alghena Airfield,17.33538,38.51935
HHAS,Asmara,ER,Asmara International Airport,15.29190,38.91070
HHBA,Barentu,ER,Barentu Airport,15.12239,37.61433
HHBL,Beilul,ER,Beilul Airfield,13.26346,42.37523
HHGU,Gura,ER,Gura Airfield,15.02685,39.03984
HHKN,Keren,ER,Keren Airfield,15.78437,38.42529
HHKT,Kerkebet,ER,Kerkebet Airfield,16.27763,37.36041
HHMF,Mersa Fatuma,ER,Fatuma Airfield,14.88849,40.31695
HHMG,Mersa Gulbub,ER,Gulbub Airstrip,16.41096,39.18242
HHMS,Massawa,ER,Massawa International Airport,15.67000,39.37010
HHNF,Nakfa,ER,Nakfa Airfield,16.67318,38.50555
HHOH,Omhajer,ER,Omhajer Airport,14.32168,36.63028
HHSB,Assab,ER,Assab International Airport,13.07180,42.64500
HHTS,Tessenei,ER,Tessenei Airport,15.10432,36.68171
HJJJ,Juba,SS,Juba International Airport,4.87201,31.60110
HJKJ,Kaujok,SS,Kawjok Airport,8.27962,27.95583
HJKR,Kuron,SS,Kuron Airstrip,5.71405,34.52724
HKAC,Kone,KE,Komofodo Galana Ranch Airport,-2.54764,39.63806
HKAD,Arabia,KE,Arabia Airport,3.56697,41.51183
HKAL,Alale,KE,Alale Airport,2.26760,35.02920
HKAM,Ol Tukai,KE,Amboseli Airport,-2.64479,37.25292
HKAV,Voi,KE,Sala Gate Airport,-3.07240,39.21567
HKBA,Busia,KE,Busia Airport,0.45490,34.13073
HKBE,Bomet,KE,Bomet Airport,-0.77647,35.31841
HKBI,Rongai,KE,Barina Airport,-0.12812,36.01929
HKBL,Balesa,KE,Balesa Airport,3.64697,37.35086
HKBN,Banisa,KE,Banisa Airport,3.89706,40.32025
HKBR,Bura,KE,Bura East Airport,-1.09774,39.94925
HKBT,Bute,KE,Bute Moyale Airport,3.33752,39.41424
HKBU,Bungoma,KE,Bungoma Airport,0.57732,34.55538
HKBZ,Buna,KE,Buna Airport,2.80147,39.48106
HKCC,Esiot,KE,Cottars Mara Airport,-1.68024,35.34318
HKCD,Makongeni,KE,Crocodile Camp Airport,-3.07683,39.24455
HKCG,Chagaik,KE,Chagaik Airstrip,-0.34142,35.33741
HKED,Eldoret,KE,Eldoret Boma Airport,0.53693,35.28052
HKEL,Eldoret,KE,Eldoret International Airport,0.40446,35.23890
HKEM,Embu,KE,Embu Airport,-0.57482,37.49696
HKEO,Cherubei,KE,Mount Elgon Orchards Airstrip,1.20971,34.79622
HKES,Eliye Springs,KE,Eliye Springs Airport,3.23640,35.97494
HKEU,Oloolaimutia,KE,Oseur Airstrip,-1.60629,35.43684
HKEW,El Wak,KE,El Wak Airport,2.81420,40.85539
HKFD,Ngare Ndare,KE,Ngare Ndare Airstrip,0.23156,37.36416
HKFG,Kalokol,KE,Kalokol Airport,3.49161,35.83678
HKFK,Pesi,KE,Kifuku Estate Airstrip,0.17308,36.58302
HKFZ,Funzi Island,KE,Funzi Island Airport,-4.57367,39.44708
HKGA,Garissa,KE,Garissa Airport,-0.46351,39.64830
HKGE,Aitong,KE,Ngerende Airport,-1.08352,35.18565
HKGT,Garba Tula,KE,Garba Tula Airport,0.52072,38.51605
HKHB,Homa Bay,KE,Homa Bay Airport,-0.58732,34.47647
HKHE,Lokichar,KE,Lokichar Airport,2.38852,35.64842
HKHK,,KE,Hall Hall Airport,0.93333,37.06667
HKHO,Hola,KE,Hola Airport,-1.52128,40.00362
HKHZ,Segera,KE,Segera Ranch Airport,0.18463,36.90958
HKIK,Olooloitikosh,KE,Orly Airpark,-1.58119,36.81283
HKIS,Isiolo,KE,Isiolo Airport,0.33817,37.59169
HKIU,Kiunga,KE,Kiunga Airport,-1.74127,41.48271
HKJK,Nairobi,KE,Jomo Kenyatta International Airport,-1.31889,36.92823
HKKB,Kiambere,KE,Kiambere Airport,-0.63582,37.87724
HKKE,Keekorok,KE,Keekorok Airport,-1.58634,35.25746
HKKG,Kakamega,KE,Kakamega Airport,0.27135,34.78812
HKKI,Kisumu,KE,Kisumu International Airport,-0.08614,34.72890
HKKL,Kilaguni,KE,Kilaguni Airport,-2.90685,38.07174
HKKM,Kakuma,KE,Kakuma Airport,3.70509,34.87129
HKKR,Kericho,KE,Kericho Airport,-0.38990,35.24209
HKKS,Kisii,KE,Kisii Airport,-0.67252,34.69099
HKKT,Kitale,KE,Kitale Airport,0.97199,34.95860
HKKU,Kitui,KE,Kitui Airport,-1.37279,37.97810
HKLG,Kachoda,KE,Lokitaung Airport,4.31926,35.68788
HKLK,Lokichogio,KE,Lokichogio Airport,4.20412,34.34820
HKLM,Timau,KE,Lolomarik Airport,0.10711,37.27891
HKLO,Lodwar,KE,Lodwar Airport,3.12197,35.60870
HKLT,Oloitoktok,KE,Oloitoktok Airport,-2.90982,37.52486
HKLU,Lamu,KE,Manda Airport,-2.25243,40.91289
HKLX,Kisiki Cha Wangiriam,KE,Lali Galana Airport,-3.08391,39.26475
HKLY,Loiyangalani,KE,Loiyangalani Airport,2.76361,36.71833
HKMA,Mandera,KE,Mandera Airport,3.93382,41.84411
HKMB,Marsabit,KE,Marsabit Airport,2.34425,38.00000
HKMG,Magadi,KE,Magadi Airport,-1.94795,36.27992
HKMI,Kisima,KE,Kisima Airport,0.94911,36.75733
HKMJ,Migori,KE,Migori Airport,-1.11600,34.48583
HKMK,Meru-Kinna,KE,Mulika Lodge Airport,0.16508,38.19514
HKML,Malindi,KE,Malindi International Airport,-3.22931,40.10170
HKMO,Mombasa,KE,Moi International Airport,-4.03483,39.59420
HKMR,Mackinnon Road,KE,Mackinnon Road Airport,-3.73055,39.03941
HKMS,Serena,KE,Mara Serena Lodge Airstrip,-1.40459,35.00835
HKMT,Mtito Andei,KE,Mtito Andei Airport,-2.71381,38.19501
HKMU,Makindu,KE,Makindu Airport,-2.29047,37.82456
HKMY,Moyale,KE,Moyale Airport,3.46972,39.10140
HKNI,Nyeri,KE,Nyeri Airport,-0.36441,36.97848
HKNK,Nakuru,KE,Nakuru Lanet Airport,-0.29842,36.15919
HKNL,Gathiuru,KE,Nanyuki Civil Airport,-0.06235,37.04130
HKNO,Narok,KE,Narok Airport,-1.13003,35.78912
HKNV,Naivasha,KE,Naivasha Airport,-0.78804,36.43329
HKNW,Nairobi,KE,Nairobi Wilson Airport,-1.32172,36.81480
HKNY,Nanyuki,KE,Laikipia Air Base,0.02902,37.02520
HKOJ,Oljogi Ranch,KE,Oljogi Ranch Airport,0.29027,36.94040
HKOK,Serena,KE,Mara-Olkiombo Airport,-1.40859,35.11069
HKOL,Oropoi,KE,Oropoi Airport,3.81090,34.36094
HKON,Kone,KE,Kone Airport,-2.32916,39.03518
HKOR,Sigor,KE,Sigor Airport,1.58209,35.47119
HKOT,Naivasha,KE,Longonot Fair Airstrip,-0.81714,36.39140
HKOY,Mara Simba,KE,Ol Seki Naboisho Airstrip,-1.37847,35.38032
HKRB,Aruba,KE,Aruba Airport,-3.34224,38.81448
HKRE,Nairobi,KE,Moi Air Base,-1.27727,36.86230
HKRK,Rusinga,KE,Rusinga Airport,-0.41564,34.14144
HKRL,Rumuruti,KE,Rumuruti Airstrip,0.26490,36.53240
HKSB,Isiolo West,KE,Samburu Airport,0.53407,37.53199
HKSF,Sosian,KE,Kisima Ranch Airstrip,0.51264,36.69454
HKSJ,Mara Rianta,KE,Musiara Airstrip,-1.29864,35.06388
HKSL,Lamuria,KE,Solio Ranch Airport,-0.24321,36.88091
HKSO,Ol Maisor,KE,Ol Maisor Airport,0.41329,36.65167
HKSP,Ololaimutiek,KE,Siana Airstrip,-1.49397,35.41012
HKSV,Tsavo,KE,Tsavo Airport,-2.99068,38.45417
HKTF,Taita Hills,KE,Taita Hills Airport,-3.51564,38.24689
HKTI,Tinderet,KE,Tinderet Teas Estate Airstrip,-0.01744,35.35143
HKTQ,Namelok,KE,Tawi Lodge Airstrip,-2.72958,37.42869
HKTW,Nasolot,KE,Turkwel Gorge Airport,-2.72958,37.42869
HKUK,Ukunda,KE,Ukunda Airstrip,-4.29333,39.57110
HKUR,Kulalu,KE,Kulalu Ranch Airport,-3.10292,39.39604
HKVO,Voi,KE,Voi Airport,-3.36837,38.53231
HKWE,Webuye,KE,Webuye Airport,0.59836,34.73018
HKWJ,Wajir,KE,Wajir Airport,1.73324,40.09160
HKWY,Kiwayu,KE,Kiwayu Airport,-1.96064,41.29716
HKZF,Mfangano Island,KE,Mfangano Airport,-0.46305,34.06247
HLAM,Amal V12,LY,Amal V12 Airport,29.47950,21.12240
HLBD,Beda M3,LY,Beda (M-3) Airport,28.50330,19.00280
HLBS,,LY,Booster Airport,29.91240,23.28728
HLFE,,LY,El Feel Airport,26.04250,12.04783
HLFL,,LY,Bu Attifel Airport,28.79540,22.08090
HLGD,Sirt,LY,Sirt International Airport / Ghardabiya Airbase,31.05858,16.59709
HLGL,,LY,Warehouse 59e Airport,28.63850,21.43800
HLGT,Ghat,LY,Ghat Airport,25.14560,10.14260
HLHB,,LY,Hateiba Airport,29.73361,19.69722
HLJF,,LY,Al Jufra Airport,29.19810,16.00100
HLKF,Kufra,LY,Kufra Airport,24.17870,23.31400
HLLB,Benina,LY,Benina International Airport,32.09680,20.26950
HLLM,Tripoli,LY,Mitiga International Airport,32.89177,13.28788
HLLQ,Al Albraq,LY,Al Abraq International Airport,32.78904,21.95486
HLLS,Sabha,LY,Sabha Airport,26.99245,14.46616
HLMB,Marsa al Brega,LY,Marsa al Brega Airport,30.37810,19.57640
HLMS,Misrata,LY,Misrata International Airport,32.32500,15.06100
HLNF,Ras Lanuf,LY,Ras Lanuf Airport,30.50000,18.52720
HLNR,Nafurah 1,LY,Nafurah 1 Airport,29.21320,21.59240
HLON,,LY,Hon Airport,29.11010,15.96560
HLRA,Dahra,LY,Dahra Airport,29.47117,17.92935
HLRF,,LY,Jaref Airport,31.20750,16.42300
HLRG,Adjabiya,LY,Raguba Airport,29.09944,19.04222
HLSA,Sarir,LY,Sarir (C-4) Airport,27.66240,22.50860
HLSB,,LY,Sabah Airport,28.22250,18.10944
HLSH,,LY,Sahil Airport,29.54245,20.17107
HLTD,Ghadames,LY,Ghadames Airport,30.14548,9.70209
HLTQ,Adam,LY,Tobruk International Airport,31.86100,23.90700
HLUB,Ubari,LY,Ubari Airport,26.56750,12.82310
HLWA,Warehouse 59A,LY,Warehouse 59A Airport,28.32240,19.93000
HLWF,,LY,Wafa Airport,28.90300,10.08167
HLWN,,LY,Waddan Airport,29.13920,16.16030
HLZA,Zillah,LY,Zella 74 Airport,28.58746,17.29875
HLZG,Oxy A 103,LY,Oxy A 103 Airport,29.00630,20.78610
HLZN,Zintan,LY,Alzintan Airport,31.77488,12.25006
HLZU,Ajdabiya,LY,Zuetina Airport,30.87020,20.07550
HLZW,Zuwarah,LY,Zuwarah International Airport,32.95230,12.01550
HRYG,Gisenyi,RW,Gisenyi Airport,-1.67720,29.25890
HRYI,Butare,RW,Butare Airport,-2.59583,29.73670
HRYN,Nemba,RW,Nemba Airport,-2.33617,30.20666
HRYO,Gabiro,RW,Gabiro Airport,-1.55000,30.38300
HRYR,Kigali,RW,Kigali International Airport,-1.96863,30.13950
HRYU,Ruhengeri,RW,Ruhengeri Airport,-1.49687,29.63134
HRZA,Kamembe,RW,Kamembe Airport,-2.46224,28.90790
HSAK,Akobo,SS,Akobo Airport,7.77790,33.00270
HSAT,Atbara,SD,Atbara Airport,17.70993,34.05721
HSAW,Aweil,SS,Aweil Airport,8.79138,27.36015
HSBR,Bor,SS,Bor Airport,6.19194,31.60041
HSBT,Rubkona,SS,Bentiu Airport,9.30849,29.78732
HSCG,Carthago,SD,Carthago Airport,18.75139,36.99167
HSDB,Al Dabbah,SD,Al Dabbah Airport,18.01460,30.95950
HSDL,Dilling,SD,Dilling Airport,11.99051,29.67351
HSDN,Dongola,SD,Dongola Airport,19.15367,30.43007
HSDZ,Ad Damazin,SD,Damazin Airport,11.78590,34.33670
HSFA,Higleig,SS,Paloich Airport,10.52917,32.50056
HSFS,El Fasher,SD,El Fasher Airport,13.61490,25.32460
HSGG,Dinder,SD,Galegu Airport,12.53300,35.06700
HSGN,Geneina,SD,Geneina Airport,13.48188,22.46712
HSGO,Gogrial,SD,Gogrial Airport,18.86700,28.11700
HSHG,Heglig,SD,Heglig Airport,9.99493,29.39772
HSKA,Kassala,SD,Kassala Airport,15.38750,36.32880
HSKG,Khashm El Girba,SD,Khashm El Girba Airport,14.92500,35.87800
HSKJ,Kajo Keji,SS,Kajo Keji Airport,3.85754,31.65652
HSKN,Sifeiya,SD,Kenana Airport,13.05343,32.90732
HSKP,Kapoeta,SS,Kapoeta Airport,4.78081,33.58628
HSLI,Kadugli,SD,Kadugli Airport,11.13800,29.70110
HSMD,Marida,SS,Marida Airport,4.90285,29.44326
HSMK,Rumbek,SS,Rumbek Airport,6.83107,29.66907
HSMN,Merowe,SD,Merowe Airport,18.44333,31.84333
HSMR,Merowe,SD,Merowe Town Airport,18.45500,31.81850
HSND,Shendi,SD,Shendi Airport,16.70378,33.44640
HSNH,En Nahud,SD,En Nahud Airport,12.73551,28.41084
HSNM,Nimule,SS,Nimule Airport,3.59766,32.09028
HSNN,Nyala,SD,Nyala Airport,12.05350,24.95620
HSNW,New Halfa,SD,New Halfa Airport,15.35560,35.72780
HSOB,El-Obeid,SD,El-Obeid Airport,13.15320,30.23270
HSPA,Pochalla,SS,Pochalla Airport,7.17856,34.09736
HSPI,Pibor,SS,Pibor Airport,6.79856,33.12590
HSPN,Port Sudan,SD,Port Sudan New International Airport,19.43456,37.23412
HSRJ,Raga,SS,Raga Airport,8.46111,25.68110
HSRN,Renk,SS,Renk Airport,11.64477,32.81045
HSSG,Geneina,SD,Sabera Geneina Airport,13.47740,22.53722
HSSK,Khartoum,SD,Khartoum International Airport,15.58950,32.55320
HSSM,Malakal,SS,Malakal International Airport,9.55874,31.65194
HSSP,Port Sudan,SD,Port Sudan Air Base,19.57650,37.21590
HSSW,Wadi Halfa,SD,Wadi Halfa Airport,21.80270,31.52158
HSTO,Tonj,SS,Tonj Airport,7.26631,28.66242
HSTR,Torit,SS,Torit Airport,4.41677,32.57571
HSTU,Tumbura,SS,Tumbura Airport,5.60214,27.47321
HSWW,Wau,SS,Wau Airport,7.72583,27.97500
HSYA,Yambio,SS,Yambio Airport,4.56707,28.42411
HSYE,Yei,SS,Yei Airport,4.12896,30.73182
HSYL,Yirol,SS,Yirol Airport,6.56157,30.50989
HSZA,Zalingei,SD,Zalingei Airport,12.94370,23.56310
HTAG,Somangira,TZ,Amani Beach Airport,-6.95729,39.50559
HTAR,Arusha,TZ,Arusha Airport,-3.36779,36.63330
HTBB,Selous Game Reserve,TZ,Kibambawe Airstrip,-7.74824,38.00183
HTBS,Mbesa Mission,TZ,Mbesa Airport,-11.33168,37.06782
HTBU,Bukoba,TZ,Bukoba Airport,-1.33200,31.82120
