icao,municipality,country,name,lat,lon
AYCH,Kundiawa,PG,Chimbu Airport,-6.02429,144.97099
AYCN,Changriwa,PG,Changriwa Airstrip,-4.32865,143.74058
AYCS,Samarai Island,PG,China Strait Airstrip,-10.56278,150.69069
AYDA,Dahamo Village,PG,Dahamo Airstrip,-5.75319,141.99361
AYDB,Debepare,PG,Debepare Airport,-6.30861,141.90556
AYDD,Dobu,PG,Dobu Airstrip,-6.63050,144.63830
AYDE,Derim,PG,Derim Airport,-6.14472,147.10722
AYDI,Bundi,PG,Bundi Airport,-5.74222,145.22750
AYDK,Munduku,PG,Munduku Airport,-4.62040,143.45160
AYDL,Kondobol,PG,Kondobol Airport,-8.53360,142.50490
AYDM,Duranmin,PG,Duranmin Airstrip,-4.97308,141.90888
AYDN,Dinangat,PG,Dinangat Airport,-6.15460,146.67720
AYDO,Castori Islets,PG,Doini Airport,-10.70090,150.72180
AYDP,Tsendiap,PG,Tsendiap Airstrip,-5.35990,144.44620
AYDQ,Dimisisi,PG,Dimisisi Airstrip,-8.62980,142.21620
AYDR,Dorobisoro,PG,Dorobisoro Airport,-9.46185,147.92091
AYDS,Dusin,PG,Dusin Airport,-5.18386,144.41217
AYDU,Daru,PG,Daru Airport,-9.08676,143.20799
AYDW,Dewara,PG,Dewara Airstrip,-8.38020,142.44750
AYDY,Sindeni,PG,Sindeni Airstrip,-7.00770,145.79650
AYEA,Gunim,PG,Kerau Airport,-8.27161,147.07190
AYEB,Embessa,PG,Embessa Airport,-9.44700,148.76280
AYED,Yellow River Mission,PG,Edwaki Airport,-3.88399,141.79223
AYEE,Emirau Island,PG,Emirau Airport,-1.65395,149.97577
AYEF,Efogi,PG,Efogi Airport,-9.15381,147.65981
AYEG,Mengina,PG,Mengina Airstrip,-6.48360,144.98600
AYEH,Morehead,PG,Morehead Airport,-8.71411,141.64444
AYEI,Milei,PG,Milei Airstrip,-9.07940,147.60200
AYEK,Membok,PG,Membok Airstrip,-6.47440,141.01900
AYEL,Eliptamin,PG,Eliptamin Airport,-5.04120,141.67790
AYEM,Eleme,PG,Eleme Airstrip,-4.81403,143.91064
AYEN,Engati,PG,Engati Airstrip,-6.91790,146.10530
AYEO,Emo Mission,PG,Emo River Airstrip,-9.12340,148.04150
AYER,Erume,PG,Erume Airport,-8.25380,146.97470
AYES,Demgulu,PG,Meselia Airport,-6.13640,149.11830
AYET,Bosset,PG,Bosset Airport,-7.23726,141.10632
AYEU,Eloaua Island,PG,Eloaua Airstrip,-1.56026,149.63036
AYEV,Erave,PG,Erave Airport,-6.60646,143.90021
AYEW,Siwea,PG,Siwea Airport,-6.28418,147.58237
AYEY,Mirsey,PG,Mirsey Airstrip,-4.06210,142.66090
AYEZ,Moropote,PG,Moropote Airstrip,-4.58706,142.33569
AYFA,Fane Mission,PG,Fane Airport,-8.54928,147.08583
AYFE,Feramin,PG,Feramin Airport,-5.20800,141.69880
AYFF,,PG,Faia Airport,-7.16035,143.53132
AYFI,Buki,PG,Finschhafen Airport,-6.62175,147.85405
AYFK,Foroko,PG,Foroko Airstrip,-5.32830,144.89440
AYFO,Fogomaiu,PG,Fogomaiu Airstrip,-6.50960,143.07940
AYFR,Frieda River,PG,Frieda River Airport,-4.61047,141.96014
AYFS,Fugari,PG,Fas Airstrip,-3.19830,141.47200
AYFU,Fuma,PG,Fuma Airport,-6.39330,142.44080
AYFW,Kwieftim,PG,Kwieftim Airstrip,-3.60050,141.76740
AYGA,Goronka,PG,Goroka Airport,-6.08169,145.39200
AYGC,Gewoia,PG,Gewoia Airport,-9.22630,148.49490
AYGD,Amusa,PG,Gimi Airstrip,-6.64820,145.40030
AYGE,Geigorobi,PG,Geigorobi Airstrip,-4.10550,143.30560
AYGF,Guari,PG,Guari Airport,-8.12860,146.87220
AYGG,Au,PG,Garasa Airport,-7.98071,147.21346
AYGH,Guhu,PG,Guhu Airstrip,-5.69570,146.11160
AYGI,Garaina,PG,Garaina Airport,-7.87563,147.14127
AYGJ,Woodlark (Muyua) Island,PG,Guasopa Airport,-9.22592,152.94435
AYGL,Gonaili,PG,Gonaili Airport,-5.52772,151.57333
AYGM,Gema,PG,Gema Airstrip,-6.80309,145.77587
AYGN,Gurney,PG,Gurney Airport,-10.31150,150.33400
AYGO,Gokto,PG,Gokto Airstrip,-4.91360,144.49000
AYGP,Gusap,PG,Gusap Airport,-6.05320,145.95905
AYGQ,Gawa,PG,Gawa Airstrip,-5.25900,142.23300
AYGR,Popondetta,PG,Girua Airport,-8.80454,148.30901
AYGS,Gasuke,PG,Gasuke Airport,-6.10280,141.73930
AYGT,Gasmata Island,PG,Gasmata Island Airport,-6.27111,150.33099
AYGU,Anguganak,PG,Anguganak Airport,-3.56050,142.21731
AYGV,Green River,PG,Green River Airport,-3.90224,141.17052
AYGW,Guwasa,PG,Guwasa Airport,-6.46584,145.08397
AYGX,Gora,PG,Gora Airstrip,-9.00210,148.23640
AYGY,Guavi,PG,Guavi Airstrip,-6.87000,142.75370
AYHA,,PG,Haia Airport,-6.70742,144.99740
AYHB,Habi,PG,Habi Airport,-6.32000,142.48930
AYHE,Heiweni,PG,Heiweni Airport,-7.42230,146.42760
AYHF,Bainyik,PG,Hayfields Airport,-3.69838,143.05790
AYHH,Honinabi,PG,Honinabi Airport,-6.24570,142.17710
AYHJ,Hewa,PG,Hewa Airstrip,-5.19140,142.95950
AYHK,Kimbe,PG,Hoskins Airport,-5.46385,150.40733
AYHL,Hesalibi,PG,Hesalibi Airstrip,-6.60000,142.35020
AYHN,Habina,PG,Habina Airstrip,-6.66710,146.00000
AYHO,Haivaro,PG,Haivaro Airport,-6.94060,143.05900
AYHQ,Hauna,PG,Hauna Airstrip,-4.29940,142.23050
AYHT,Hotmin Mission,PG,Hotmin Airstrip,-4.58450,141.57420
AYHU,Hawabango,PG,Hawabango Airport,-7.39299,146.00349
AYHW,Haewenai,PG,Haewenai Airstrip,-5.72190,141.32050
AYHX,Herowana,PG,Herowena Airstrip,-6.62290,145.19720
AYHY,Huya,PG,Huya Airstrip,-6.27340,142.70610
AYIA,Nissan Island,PG,Nissan Island Airport,-4.49972,154.22600
AYIB,Ibil,PG,Ibil Airstrip,-4.68280,141.03160
AYID,Indagen,PG,Indagen Airport,-6.22663,147.24400
AYII,Imane,PG,Imane Airport,-6.75240,146.10720
AYIM,Kungim,PG,Kungim Airport,-5.67100,141.03000
AYIN,Busilmin,PG,Busilmin Airstrip,-4.91660,141.15480
AYIO,Imonda,PG,Imonda Airport,-3.32800,141.15730
AYIP,Iropena,PG,Iropena Airstrip,-5.03264,143.87112
AYIQ,Kieta,PG,Aropa Airport,-6.30573,155.72825
AYIR,Inaru,PG,Inaru Airstrip,-4.63160,142.89130
AYIS,Isan,PG,Isan Airstrip,-5.97810,146.61975
AYIT,Iteri,PG,Iteri Airstrip,-4.24180,141.52340
AYIU,Ialibu,PG,Ialibu Airport,-6.27820,143.99440
AYIW,Wasua,PG,Wasua Airport,-8.28360,142.86970
AYIX,Garove Island,PG,Witu Airport,-4.68952,149.44011
AYIY,Miyanmin,PG,Miyanmin Airport,-4.90306,141.62083
AYJE,Yomneri,PG,Yomneri Airstrip,-5.23700,144.60070
AYJO,Yongai,PG,Yongai Airport,-8.52890,147.46030
AYJS,Josephstaal,PG,Josephstaal Airport,-4.74708,145.00708
AYJW,,PG,Wauru Airstrip,-4.18203,141.19829
AYKA,Losuia,PG,Losuia Airport,-8.50582,151.08099
AYKB,,PG,Kabwum,-6.15547,147.19147
AYKC,Kandrian,PG,Kandrian Airport,-6.19217,149.54783
AYKD,Hoieti,PG,Kamina Airport,-7.64925,145.95694
AYKG,Kopiago,PG,Kopiago Airport,-5.38830,142.49770
AYKH,Kamulai Mission,PG,Kamulai Airport,-8.15069,146.83400
AYKI,Kiunga,PG,Kiunga Airport,-6.12571,141.28200
AYKJ,Kanainj,PG,Kanainj Airport,-5.29030,144.70720
AYKK,Kikori,PG,Kikori Airport,-7.42438,144.25008
AYKL,Kafle,PG,Kafle Airstrip,-3.75000,142.59000
AYKM,Kerema,PG,Kerema Airport,-7.96361,145.77100
AYKN,Kubuna Mission,PG,Kubuna Airstrip,-8.69170,146.75660
AYKO,Kokoda,PG,Kokoda Airport,-8.88468,147.73096
AYKQ,Kagi,PG,Kagi Airport,-9.13592,147.66944
AYKR,Kar Kar Island,PG,Kar Kar Airport,-4.55700,145.94040
AYKT,Kaintiba,PG,Kaintiba Airport,-7.50025,146.03383
AYKU,Kuri,PG,Kuri Airport,-7.13508,143.27611
AYKV,Kavieng,PG,Kavieng Airport,-2.57940,150.80800
AYKW,Kawito,PG,Kawito Airport,-7.97701,142.82358
AYKY,Londolovit,PG,Londolovit Airport,-3.04361,152.62900
AYKZ,Kairiru Island,PG,Kairiru Airstrip,-3.36874,143.55423
